id,question_number,title,title_slug,difficulty,topics,url,active,notes,source
binary-tree-inorder-traversal,94,二叉树的中序遍历,binary-tree-inorder-traversal,EASY,"Stack,Tree,Depth-First Search,Binary Tree",https://leetcode.cn/problems/binary-tree-inorder-traversal/,true,,leetcode-hot100
maximum-depth-of-binary-tree,104,二叉树的最大深度,maximum-depth-of-binary-tree,EASY,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",https://leetcode.cn/problems/maximum-depth-of-binary-tree/,true,,leetcode-hot100
invert-binary-tree,226,翻转二叉树,invert-binary-tree,EASY,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",https://leetcode.cn/problems/invert-binary-tree/,true,,leetcode-hot100
symmetric-tree,101,对称二叉树,symmetric-tree,EASY,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",https://leetcode.cn/problems/symmetric-tree/,true,,leetcode-hot100
diameter-of-binary-tree,543,二叉树的直径,diameter-of-binary-tree,EASY,"Tree,Depth-First Search,Binary Tree,树形 DP",https://leetcode.cn/problems/diameter-of-binary-tree/,true,,leetcode-hot100
binary-tree-level-order-traversal,102,二叉树的层序遍历,binary-tree-level-order-traversal,MEDIUM,"Tree,Breadth-First Search,Binary Tree",https://leetcode.cn/problems/binary-tree-level-order-traversal/,true,,leetcode-hot100
convert-sorted-array-to-binary-search-tree,108,将有序数组转换为二叉搜索树,convert-sorted-array-to-binary-search-tree,EASY,"Tree,Binary Search Tree,Array,Divide and Conquer,Binary Tree",https://leetcode.cn/problems/convert-sorted-array-to-binary-search-tree/,true,,leetcode-hot100
validate-binary-search-tree,98,验证二叉搜索树,validate-binary-search-tree,MEDIUM,"Tree,Depth-First Search,Binary Search Tree,Binary Tree",https://leetcode.cn/problems/validate-binary-search-tree/,true,,leetcode-hot100
kth-smallest-element-in-a-bst,230,二叉搜索树中第 K 小的元素,kth-smallest-element-in-a-bst,MEDIUM,"Tree,Depth-First Search,Binary Search Tree,Binary Tree",https://leetcode.cn/problems/kth-smallest-element-in-a-bst/,true,,leetcode-hot100
binary-tree-right-side-view,199,二叉树的右视图,binary-tree-right-side-view,MEDIUM,"Tree,Depth-First Search,Breadth-First Search,Binary Tree",https://leetcode.cn/problems/binary-tree-right-side-view/,true,,leetcode-hot100
flatten-binary-tree-to-linked-list,114,二叉树展开为链表,flatten-binary-tree-to-linked-list,MEDIUM,"Stack,Tree,Depth-First Search,Linked List,Binary Tree",https://leetcode.cn/problems/flatten-binary-tree-to-linked-list/,true,,leetcode-hot100
construct-binary-tree-from-preorder-and-inorder-traversal,105,从前序与中序遍历序列构造二叉树,construct-binary-tree-from-preorder-and-inorder-traversal,MEDIUM,"Tree,Array,Hash Table,Divide and Conquer,Binary Tree",https://leetcode.cn/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,true,,leetcode-hot100
path-sum-iii,437,路径总和 III,path-sum-iii,MEDIUM,"Tree,Depth-First Search,Binary Tree",https://leetcode.cn/problems/path-sum-iii/,true,,leetcode-hot100
lowest-common-ancestor-of-a-binary-tree,236,二叉树的最近公共祖先,lowest-common-ancestor-of-a-binary-tree,MEDIUM,"Tree,Depth-First Search,Binary Tree,最近公共祖先,Binary Lifting",https://leetcode.cn/problems/lowest-common-ancestor-of-a-binary-tree/,true,,leetcode-hot100
binary-tree-maximum-path-sum,124,二叉树中的最大路径和,binary-tree-maximum-path-sum,HARD,"Tree,Depth-First Search,Dynamic Programming,Binary Tree,树形 DP",https://leetcode.cn/problems/binary-tree-maximum-path-sum/,true,,leetcode-hot100
number-of-islands,200,岛屿数量,number-of-islands,MEDIUM,"Depth-First Search,Breadth-First Search,Union Find,Array,Matrix",https://leetcode.cn/problems/number-of-islands/,true,,leetcode-hot100
rotting-oranges,994,腐烂的橘子,rotting-oranges,MEDIUM,"Breadth-First Search,Array,Matrix",https://leetcode.cn/problems/rotting-oranges/,true,,leetcode-hot100
course-schedule,207,课程表,course-schedule,MEDIUM,"Depth-First Search,Breadth-First Search,Graph,Topological Sort,有向无环图",https://leetcode.cn/problems/course-schedule/,true,,leetcode-hot100
implement-trie-prefix-tree,208,实现 Trie (前缀树),implement-trie-prefix-tree,MEDIUM,"Design,Trie,Hash Table,String",https://leetcode.cn/problems/implement-trie-prefix-tree/,true,,leetcode-hot100
permutations,46,全排列,permutations,MEDIUM,"Array,Backtracking",https://leetcode.cn/problems/permutations/,true,,leetcode-hot100
subsets,78,子集,subsets,MEDIUM,"Bit Manipulation,Array,Backtracking",https://leetcode.cn/problems/subsets/,true,,leetcode-hot100
letter-combinations-of-a-phone-number,17,电话号码的字母组合,letter-combinations-of-a-phone-number,MEDIUM,"Hash Table,String,Backtracking",https://leetcode.cn/problems/letter-combinations-of-a-phone-number/,true,,leetcode-hot100
combination-sum,39,组合总和,combination-sum,MEDIUM,"Array,Backtracking",https://leetcode.cn/problems/combination-sum/,true,,leetcode-hot100
generate-parentheses,22,括号生成,generate-parentheses,MEDIUM,"String,Dynamic Programming,Backtracking,括号序列",https://leetcode.cn/problems/generate-parentheses/,true,,leetcode-hot100
word-search,79,单词搜索,word-search,MEDIUM,"Depth-First Search,Array,String,Backtracking,Matrix",https://leetcode.cn/problems/word-search/,true,,leetcode-hot100
palindrome-partitioning,131,分割回文串,palindrome-partitioning,MEDIUM,"String,Dynamic Programming,Backtracking",https://leetcode.cn/problems/palindrome-partitioning/,true,,leetcode-hot100
n-queens,51,N 皇后,n-queens,HARD,"Array,Backtracking,X 算法",https://leetcode.cn/problems/n-queens/,true,,leetcode-hot100
search-insert-position,35,搜索插入位置,search-insert-position,EASY,"Array,Binary Search",https://leetcode.cn/problems/search-insert-position/,true,,leetcode-hot100
search-a-2d-matrix,74,搜索二维矩阵,search-a-2d-matrix,MEDIUM,"Array,Binary Search,Matrix",https://leetcode.cn/problems/search-a-2d-matrix/,true,,leetcode-hot100
